type,clientName,clientNameEn,code,description,exchange,full_name,name,securityName,stockNo,createdAt,updatedAt,marketCapPrev,sharesOutstanding,sort,symbol_ref,lastDateSyncIDS
s,Tổng Công ty Cổ phần Bảo hiểm Hàng không,Vietnam National Aviation Insurance Corporation,AIC,,UPCOM,AIC,AIC,,upcom:79821,2022-05-05T06:56:56.309Z,2023-10-04T01:30:26.430Z,960000000000.0,100000000.0,,,
s,Công ty Cổ phần Sản xuất - Xuất nhập khẩu Dệt may,Textile - Garment Import - Export and Production Joint Stock Company,VTI,,UPCOM,VTI,VTI,,upcom:63233,2022-05-05T06:56:56.324Z,2023-10-04T01:30:26.680Z,26534530600.0,4279763.0,,,
s,Công ty Cổ phần Xăng dầu Dầu khí Thái Bình,Thai Binh Petrovietnam Oil Joint Stock Company,POB,,UPCOM,POB,POB,,upcom:76526,2022-05-05T06:56:56.260Z,2023-10-04T01:30:26.882Z,551540000000.0,10900000.0,,,
s,Công ty Cổ phần Cấp thoát nước Phú Yên,Phu Yen Water Supply and Sewerage Joint Stock Company,PWS,,UPCOM,PWS,PWS,,upcom:76261,2022-05-05T06:56:56.259Z,2023-10-04T01:30:27.568Z,402817579500.0,38363579.0,,,
s,Công ty Cổ phần Công nghệ mạng và Truyền thông,Information and Networking technology Joint stock Company,CMT,,UPCOM,CMT,CMT,,upcom:78279,2022-05-05T06:56:56.276Z,2023-10-04T01:30:27.683Z,82973969780.0,7277780.0,,,
s,Công ty Cổ phần Cao su Tân Biên,Tan Bien Rubber Joint Stock Company,RTB,,UPCOM,RTB,RTB,,upcom:75239,2022-05-05T06:56:56.319Z,2023-10-04T01:30:27.930Z,1539037500000.0,87945000.0,,,
s,Tổng Công ty May Nhà Bè - Công ty Cổ phần,Nha Be Garment Corporation - Joint Stock Company,MNB,,UPCOM,MNB,MNB,,upcom:77199,2022-05-05T06:56:56.267Z,2023-10-04T01:30:28.200Z,439530000000.0,19110000.0,,,
s,Công ty Cổ phần Cấp thoát nước Lạng Sơn,Lang Son Water Supply and Drainage Joint Stock Company,NLS,,UPCOM,NLS,NLS,,upcom:74859,2022-05-05T06:56:56.321Z,2023-10-04T01:30:28.589Z,28054880000.0,5009800.0,,,
s,Công ty Cổ phần Cấp Nước Phú Mỹ,Phu My Water Supply Joint-Stock Company,PMW,,UPCOM,PMW,PMW,,upcom:78559,2022-05-05T06:56:56.333Z,2023-10-04T01:30:28.732Z,1449995128000.0,49999832.0,,,
s,Công ty Cổ phần Tập đoàn MPT,MPT Group Joint Stock Company,MPT,,UPCOM,MPT,MPT,,upcom:74239,2022-05-05T06:56:56.284Z,2023-10-04T01:30:29.110Z,10264298400.0,17107164.0,,,
